target,entity_id,n,block_sd,local_sd,rmse_ml,rmse_loc,rmse_per,rmse_lin
d18O_measurement,17,55,0.9237665262615453,1.410727853804553,0.982926837727136,1.4325989430370623,1.2062157201911947,1.1525436530533097
d18O_measurement,32,30,0.48730978483044746,0.9061478227707599,0.5223766924695458,0.5452306997718921,0.49284201913340664,1.2553217680113569
d18O_measurement,101,30,0.4477217501479636,0.4886245582362949,0.6060429975197656,0.49728963736511506,1.0363369304108263,0.6116557255032663
d18O_measurement,102,61,0.33146422124425906,0.465043825891711,0.4909146396549458,0.4344307305798374,0.5062300390721757,0.2556832512459113
d18O_measurement,156,30,0.3228671897579905,0.4726855529948868,0.31046383150536966,0.35815807762722335,0.32461772389484017,0.37834770945165214
d18O_measurement,158,30,0.4505310446819644,0.4661788963661391,0.8412864936010919,0.45082330728464753,0.5533835318595355,0.5065464116657467
d18O_measurement,169,41,0.4492883804200681,0.47156758028409884,0.8325154937950114,0.5636864562906293,0.8537775171439502,0.6560892249255544
d18O_measurement,226,30,0.15381121184389931,0.23504687791954756,0.21228052325135321,0.20732508427316385,0.3215120526512185,0.2014874956029623
d18O_measurement,290,30,0.16684290681822678,0.8226482400803776,0.3051774593765218,0.22483732361606643,0.16807736313971605,0.21266027946861119
d18O_measurement,390,160,0.16883775496019834,0.1567801007781281,0.18064755561565224,0.1802962839328643,0.2543644039562146,0.17426526904848222
d18O_measurement,394,30,0.6965505485366202,0.6142655236831397,0.6413491695636339,0.7097969726501163,0.8680476177414849,0.5852616361899171
d18O_measurement,561,30,0.2660993398251927,0.32707864019266625,0.26343106822994944,0.29216168087589467,0.3469204666099084,0.26995430561235123
d18O_measurement,573,43,0.5336026367362281,0.4421947082168668,0.5302359734129195,0.5342782185270534,0.7454937804865888,0.480108048854393
d18O_measurement,574,30,0.22965270071885335,0.29102174484588955,0.32116181225394524,0.3407741382486272,0.23194912299892595,0.2583305463327889
d18O_measurement,575,30,0.4370041352643491,0.7601796623391207,0.4263947545358904,0.6889684017543956,0.6728993675209695,0.2974875356692222
d18O_measurement,596,101,0.20017887305489482,0.23567880154990606,0.2158638654813445,0.20055801492706582,0.27436154509286226,0.25311622214290574
d18O_measurement,608,148,0.28091662126119116,0.5101998725989649,0.330288656357921,0.43330121318933706,0.29070394524977433,0.3125697672891311
d18O_measurement,692,73,0.31920059888829105,0.7903390269371746,0.4303091650557319,0.31933567048672384,0.5597883650975878,0.44320648494077003
d18O_measurement,694,65,0.7457871263771068,0.8409398298927219,0.6473781953715105,0.7560904978648643,1.9948101895437802,
d18O_measurement,714,30,0.3150724347934403,0.502186091663509,0.4355037077460522,0.419497515354285,0.3189293678334855,0.3175067063247609
d18O_measurement,722,30,0.4238941167582091,0.49640443188996614,0.6621075757658467,0.468054740388344,0.6807495868526102,0.889484898441668
d18O_measurement,748,30,0.3546713934225326,0.7445297126475907,0.3971696881181475,0.5304218856790134,0.8052830441667711,0.23022118774207784
d18O_measurement,751,30,0.15001492148005366,0.40889197537475974,0.3962729773371289,0.27356544170599395,0.17990265886491688,0.20942686412923217
d18O_measurement,764,30,0.2545906218830886,0.5723875956386586,0.21574929285452094,0.27935190950543465,0.3788786856839668,0.27053821992177296
d18O_measurement,773,30,0.5034297604796469,0.3474541983768496,0.5216179448242705,0.5442582170353387,0.5355867839429719,0.4380804281814123
d18O_measurement,783,30,0.09106530013615996,0.12815225319907567,0.13279106772689622,0.09218640536073272,0.10421132376090418,0.10811097969159195
d18O_measurement,784,34,0.22751380078373004,0.21779519486184723,0.23759734599214805,0.22929008234799164,0.22851148427827164,0.26199660090250804
d18O_measurement,804,30,0.29331180694397985,0.7655160624518454,0.5192497644027059,0.6179417169742708,0.525150596083032,0.5971344171508649
d18O_measurement,812,188,0.5190936707591242,0.39351899255309136,0.5088876166733247,0.5198712037201588,0.5381993224060189,0.6395907650249595
d18O_measurement,836,30,0.2113643579880535,0.7835449510635828,0.4686099719202937,1.2821022321261646,0.3919894867183233,0.1692814879842644
d18O_measurement,842,30,0.22650268713917432,0.2637078943220926,0.25858497385259654,0.22915381040624702,0.5763324501994254,0.4164247600065565
d18O_measurement,843,30,0.1917948638367505,0.42864568110830825,0.2528507987854816,0.3883694894610711,0.357361088087854,0.22056832426721365
d18O_measurement,844,40,0.31061904272896523,0.3126537582306412,0.302221725840662,0.3829959556711762,0.3780108906510718,0.45452355437960434
d18O_measurement,845,30,0.2707545287689906,0.4412612270824611,0.3141495972099528,0.5215854438760769,0.5163192992549073,0.20331769965412153
d18O_measurement,879,30,0.2878507010874831,0.4100362903826637,0.4549793748063317,0.5302623422859359,0.3759108751419675,0.44002996541511313
d18O_measurement,881,30,0.3958071102094367,0.48815251246832486,0.49010562306205246,0.40217706242887635,0.43327912122249823,0.43139867647759583
d18O_measurement,882,30,0.4943463280931508,0.4363333449608568,0.49311154585659134,0.5628347789180769,0.49448694061774473,0.48625833012594005
d18O_measurement,883,30,0.16098925833866504,0.9650480979732935,0.176057772466108,0.21231126624753893,0.20818939839006326,0.406755714303766
d18O_measurement,884,41,0.2471027845505235,0.3163449023384873,0.4167900623388424,0.5069944176381743,0.578654160604783,0.2051881533320137
d18O_measurement,887,32,0.19998339774841306,0.19612954264974972,0.21208661493615072,0.20188923943588466,0.20861148098798388,0.18674454290702996
d18O_measurement,888,30,0.10536701778351268,0.13735797839963396,0.13258203992552187,0.13851977352565303,0.14073457284678345,0.16580274249298071
d18O_measurement,889,30,0.30832810806383226,0.25696374034590264,0.3550253606351616,0.33526908638491343,0.3726750148140694,0.30560986060207906
d18O_measurement,890,77,0.2556426789255742,0.3615026659652733,0.2430880657933342,0.26567497554318176,0.5185619476075101,0.291148437265129
d18O_measurement,892,39,0.6184204830447563,1.5957383437659696,0.6510900368659184,1.03554741586203,0.7174581553562405,0.7041282293159804
d18O_measurement,894,30,0.3465079784875892,0.5196767565571909,0.2907748014405954,0.34680444614687395,0.6055514693236244,0.3201722376468115
d18O_measurement,895,30,0.40276378929338763,0.4621294639051543,0.39629356620522105,0.4350499262869331,0.48979138371210107,0.5300352003652168
d13C_measurement,17,55,1.3476148504390886,1.4490192467665846,1.3397300970217447,1.413504572700582,2.3390413731814457,1.1058913627110554
d13C_measurement,32,30,0.8756466655173047,1.290440965186295,1.0565981148484833,0.8777461965028129,0.8915331678664039,0.871754167030769
d13C_measurement,101,30,0.41749542113257565,0.5432761195847191,0.6723979550866552,0.5083191115335245,0.4987206298787591,0.3804210730402776
d13C_measurement,102,61,0.38157208860370995,0.9951952961605073,0.42082391861568386,0.4429086271548532,0.4077587682867826,0.3657036686511832
d13C_measurement,156,30,0.3398694193690015,0.43124208804372866,0.5617506805642477,0.37159230510040137,0.4638498320218157,0.48659338084233106
d13C_measurement,158,30,0.6975038829043654,0.6325245649369197,0.9464528485918575,0.7595680948625315,0.6989539803639913,0.6976868544731463
d13C_measurement,169,41,1.3573343833401927,1.0443593023476165,2.886057803864314,3.0789802368348367,2.321532993309462,2.571947793947273
d13C_measurement,226,30,0.5374991620045149,0.8385814138444196,0.5590053760848084,0.7365158179159211,0.6277993777208342,0.8354617067342583
d13C_measurement,290,30,0.5175995878411547,0.6024478618101716,0.6464370209010419,0.5334312734805936,0.5578291255692316,0.7785168521250366
d13C_measurement,390,160,0.17757294935814402,0.27830457685780163,0.19890351707568554,0.1807168883917601,0.3457681665509414,0.3591079031052704
d13C_measurement,394,30,0.4431879460855807,0.798924210759436,0.6766724792495382,0.9620737598624632,0.9291716741270152,0.7062900193248166
d13C_measurement,561,30,0.6185132904523714,1.008755375409283,0.7076736129596253,0.691268668240272,0.7417274020010196,0.5774682030874186
d13C_measurement,573,43,1.2194255100070037,1.3586020554863143,1.3673514939385425,1.374355718558935,2.3286598848852296,1.3086915192375232
d13C_measurement,574,30,0.307813939335945,0.4599276292519416,0.3576304765009778,0.38259343241813065,0.5405482737404829,0.3627289428340478
d13C_measurement,575,30,0.6118407829184844,1.1611398949548817,0.47073070216062746,0.6192385554307591,0.6488321879547679,0.8977959529992724
d13C_measurement,596,101,0.18709696414625698,0.5790092831725585,0.19008142300151096,0.25672239601145347,0.37822932956418653,0.3232132062984305
d13C_measurement,608,148,0.6540490667388589,1.2395332982618903,0.6961559018303974,0.8392706090425794,0.7420319982901591,0.7363444209703864
d13C_measurement,692,73,0.47396991051575244,0.9987141532991309,0.5839664857635128,0.6573537851903718,1.2629927493582482,0.8403646202389422
d13C_measurement,694,65,0.39174511699112535,0.6368607363466522,0.641432259415773,0.502096905487377,0.5675114366858438,
d13C_measurement,714,30,0.9610721351120783,1.3109960040359228,0.9720980699616734,0.9658796296898405,0.9994041891713947,0.9752471500321512
d13C_measurement,722,30,0.8496355427802886,0.9529777332131113,0.9389750349724972,0.9695845020763608,1.1256183485829763,0.9773385352666789
d13C_measurement,748,30,1.460774890802854,1.6971060173413592,1.582731216775642,1.6768305144473843,1.5481178611878166,1.5472100842388097
d13C_measurement,751,30,1.265742863126455,2.0456105110433853,2.3259465600785876,1.6723184163331812,2.1743259338624155,2.1918151608460716
d13C_measurement,764,30,0.25176189405153826,0.7205335874082479,0.508291015015057,1.4041140150750366,0.25321827827682913,0.34532190479193936
d13C_measurement,773,30,0.2923789366088453,0.4332469949934542,0.48642113653043323,0.4824008857359996,0.5328715214235339,0.6030935384586528
d13C_measurement,783,30,0.1811580034727205,0.533185474295765,0.22999339299973123,0.4058426419192551,0.4378964870072987,0.32045044538494083
d13C_measurement,784,34,0.4383077904268589,0.5386084470823842,0.45310486104929953,0.44985420532359793,0.44829569185120743,0.4626847733853479
d13C_measurement,804,30,0.9732143415064786,1.3784287656868397,1.6468010759705074,1.1459402755307482,1.8750520409444644,2.0656322286182784
d13C_measurement,812,188,0.8051978094455416,0.7411924159757708,0.7618027158773784,0.8682208571298663,1.076303020291852,0.9593086807831244
d13C_measurement,836,30,0.3391645868347265,0.5236470703873062,0.39072055711969156,0.4264050041876992,0.5677873680202529,0.30409090405564093
d13C_measurement,842,30,0.3188152806103843,0.47359879888780493,0.47806621550689027,0.34860622946862235,0.5469946664387031,0.3321548408417742
d13C_measurement,843,30,0.4476550382658432,0.6359725657729268,0.4687196923677221,0.565294693294445,0.6193778207462644,0.4357626060881217
d13C_measurement,844,40,0.6529944062446729,0.6704726274185151,0.7078847998086488,0.8275583002128805,0.9489683319864438,0.9760393117180926
d13C_measurement,845,30,0.7185087182401859,0.9108374339647246,0.9343635434872583,1.5430083244069142,1.2486692688650074,0.6633686638280737
d13C_measurement,879,30,0.4982347728620403,0.9478087907831085,0.7297919129304169,1.190846446608161,0.9815243247113136,0.5815821949323806
d13C_measurement,881,30,0.32077222480785844,0.5557474121521964,0.7663993003893298,0.32555235750677286,0.38436204921757394,0.29788235826818477
d13C_measurement,882,30,1.0714994143193315,0.7572434162145724,1.1384593554467104,1.0747953134531718,1.2329450433183755,0.9173970826257787
d13C_measurement,883,30,0.7055608729728515,1.6132909910539082,0.5486120866527594,1.2552078033401717,1.3549701246056702,0.5275657970710822
d13C_measurement,884,41,0.4396349328030566,1.202265397488236,0.49093849094148473,0.7648563867707021,0.9830871258381579,0.6045289473571708
d13C_measurement,887,32,0.7130611140314342,0.801890110925431,0.9750163724386213,0.8090262279431986,1.0977975109281308,1.4390171274901062
d13C_measurement,888,30,0.30467159839105457,0.29759082830933503,0.4370380726379004,0.3227453434676311,0.3403384426704428,0.4587020363579319
d13C_measurement,889,30,0.824803612989177,1.0091456128895715,1.0956807191207896,0.8724745392508044,0.8909938271391109,0.8482480045769957
d13C_measurement,890,77,0.7883508195426945,0.8454879715288681,0.9894115626935149,1.6168203079445218,2.3005888574252227,0.9386601351945525
d13C_measurement,892,39,0.6788387724248457,1.0323280161108084,0.8954762654880166,1.107633697528119,0.6813165043840886,0.7707875102400643
d13C_measurement,894,30,0.15318128171113685,0.5466271820181599,0.22647703530319926,0.1919813470253323,0.18313010311433378,0.14220329396394188
d13C_measurement,895,30,0.17977551498713293,0.48696816265773396,0.2061996202015561,0.423089247705234,0.3393149652854511,0.26364311913800687
Mg_Ca_measurement,17,55,0.1135350894358456,0.16345904424041546,0.16189029446636743,0.176905605075151,0.1487501861979976,0.11496909648745085
Mg_Ca_measurement,32,30,0.3535543612613191,0.26356424810445717,0.8619600708052251,0.35395718023621264,0.4776257173662391,0.29745736553159935
Mg_Ca_measurement,101,30,0.10865250796954874,0.17606012932848258,0.8491718172263623,0.1917087997565533,0.17101097948479319,0.11120648462038689
Mg_Ca_measurement,102,61,0.6725626955026576,1.184297590747239,1.0388618643653873,1.7734047158731436,0.9220072683296849,0.688657049797655
Mg_Ca_measurement,156,30,0.9030279926755069,1.7299664843478972,1.2013412191254416,0.9317294820747473,2.097056667490573,1.3470590027869043
Mg_Ca_measurement,158,30,2.4832497525084607,3.14357290289196,4.425117205325229,4.219353696272579,5.0628325405185315,1.6669476211789322
Mg_Ca_measurement,169,41,4.243551612517788,5.962316153701492,3.9511348434240117,4.898560984485263,7.983200090662952,7.518630289898765
Mg_Ca_measurement,226,30,2.7471471262626856,2.9912167342195715,2.7566602258788193,2.79872460402969,2.7609768802605594,3.6473526867810175
Mg_Ca_measurement,290,30,0.33337284771068476,0.6211210039687473,0.21660627900662038,0.3903650743399387,0.5065013661464975,0.21840592364376293
Mg_Ca_measurement,390,160,0.10579801294754361,0.09241677943254262,0.10445415407471169,0.1374131719812724,0.11517076124530194,0.11867418691036201
Mg_Ca_measurement,394,30,0.34646929135763677,0.4875065429276946,0.37588939403410304,0.4589916134255233,0.37086142772250846,0.5448210511411151
Mg_Ca_measurement,561,30,0.05843488360994936,0.06436037936082101,0.17912775512568563,0.08305279254192507,0.07475375951965507,0.041368598754691954
Mg_Ca_measurement,573,43,0.22839324088408458,0.28277602120425327,0.26018525647532964,0.2893585438491289,0.30025454320886197,0.2556873052758664
Mg_Ca_measurement,574,30,0.14148085019523055,0.16407124056086564,0.2228061251452088,0.15568592509166868,0.14170588578526294,0.14054277351964609
Mg_Ca_measurement,575,30,0.11214355565344358,0.2281543059619042,0.1627162428633166,0.2107619992952739,0.17607132024865976,0.06676005488202258
Mg_Ca_measurement,596,101,0.3661442830202903,0.45706101908808994,0.3783333052959868,0.38615794862891567,0.4167820297639316,0.3960133319061262
Mg_Ca_measurement,608,148,1.143735787042393,2.807881000163253,1.598415436095551,3.1813784647696757,1.994538886722098,1.4951328351903472
Mg_Ca_measurement,692,73,0.44361833003549245,1.1712737500260133,2.0609963840425136,1.4828466564717977,0.47309531606452393,0.457250227509437
Mg_Ca_measurement,694,65,2.503290805738661,3.2320070615103544,2.9904136804076353,2.6495470335509577,3.0725460611711672,
Mg_Ca_measurement,714,30,2.7909915593747763,2.9401254961894576,3.26652793375562,3.1975760110356046,4.141719788396158,4.493562395760789
Mg_Ca_measurement,722,30,0.2401629076735669,0.602096252687226,0.2976241594002519,0.2915421110234335,0.26066581415035356,0.25098900791401985
Mg_Ca_measurement,748,30,0.33247171564647154,0.4715895780419492,0.4552188857712415,0.777135136239029,0.6539951386356222,0.5048628320056562
Mg_Ca_measurement,751,30,0.11803675708131113,0.36743644018034277,0.44542589545602096,0.4845396751223644,0.27720307607941147,0.1583859461356069
Mg_Ca_measurement,764,30,0.004143317578409306,0.005357004066654521,0.15776506667247064,0.009418891556023599,0.01826774434168963,0.01340766558797802
Mg_Ca_measurement,773,30,0.0002952422973186768,0.00024307499191494327,0.14704274400098444,0.0003396202284782571,0.00030067420158453895,0.00031893584197240316
Mg_Ca_measurement,783,30,0.02879049185254416,0.035392034554372384,0.11390716863922648,0.049508777319129574,0.07462241817297838,0.07269548695203448
Mg_Ca_measurement,784,34,1.2645132081549175,3.9723594285175188,1.859411255067644,1.4049886852965963,2.2081466143129664,1.2280980977153315
Mg_Ca_measurement,804,30,3.2854804737222176,6.338214268640621,8.328679743053007,6.402365515977806,3.29528421510669,3.286093189601986
Mg_Ca_measurement,812,188,0.09127503036400099,0.09254896001576679,0.27816722979264097,0.09130052433957239,0.09831830634069184,0.11884235123580783
Mg_Ca_measurement,836,30,0.5733045911448845,1.5952805567497808,0.940507616071896,0.8373721390661918,0.6304441304244578,0.5823327833564367
Mg_Ca_measurement,842,30,0.8145646535848522,1.1213770400500762,1.4403956385993728,0.893806966782241,1.424507035596855,1.1105471397751316
Mg_Ca_measurement,843,30,1.014486252022276,1.8481511367248975,0.9107179565241972,1.5517668769503612,1.5058388247877648,1.3973574385696423
Mg_Ca_measurement,844,40,0.7907030794836897,0.8462429731384208,0.8531246235199457,0.7922120354315396,1.115105935376616,1.0397307445623674
Mg_Ca_measurement,845,30,0.377525858744636,0.8037724074467912,1.054052628845219,0.8670772337491841,1.1050456671845696,0.7867062428420614
Mg_Ca_measurement,879,30,0.6239953635519224,3.110830932123134,1.0895783705260258,3.509461700678498,0.9954444253412922,0.6942400786960082
Mg_Ca_measurement,881,30,2.621681799758041,4.246885964759266,2.380026250338384,2.716714166903509,4.643757790096798,3.433325003937133
Mg_Ca_measurement,882,30,5.773675710126077,4.371747102706842,3.6920335724220865,5.881624760427022,5.801240709206138,5.544863037179396
Mg_Ca_measurement,883,30,3.0268643976988012,4.523877281826895,1.6635441060804232,4.365249396589214,3.248158647526791,2.903866944517475
Mg_Ca_measurement,884,41,2.07248383631336,5.049910728061791,1.505984208485971,2.1110620775386213,2.389890623204784,2.262667209283531
